problem_id,F,J,M,Best,status
Ta001_2,2,20,5,1865,feasible
Ta001_3,3,20,5,1257,feasible
Ta001_4,4,20,5,780,feasible
Ta001_5,5,20,5,500,feasible
Ta001_6,6,20,5,912,feasible
Ta001_7,7,20,5,693,feasible
Ta002_2,2,20,5,2629,feasible
Ta002_3,3,20,5,1599,feasible
Ta002_4,4,20,5,896,feasible
Ta002_5,5,20,5,771,feasible
Ta002_6,6,20,5,1127,feasible
Ta002_7,7,20,5,866,feasible
Ta003_2,2,20,5,2533,feasible
Ta003_3,3,20,5,1594,feasible
Ta003_4,4,20,5,1179,feasible
Ta003_5,5,20,5,673,feasible
Ta003_6,6,20,5,965,feasible
Ta003_7,7,20,5,746,feasible
Ta004_2,2,20,5,2904,feasible
Ta004_3,3,20,5,1701,feasible
Ta004_4,4,20,5,1341,feasible
Ta004_5,5,20,5,723,feasible
Ta004_6,6,20,5,1076,feasible
Ta004_7,7,20,5,837,feasible
Ta005_2,2,20,5,2161,feasible
Ta005_3,3,20,5,958,feasible
Ta005_4,4,20,5,664,feasible
Ta005_5,5,20,5,598,feasible
Ta005_6,6,20,5,886,feasible
Ta005_7,7,20,5,691,feasible
Ta006_2,2,20,5,1301,feasible
Ta006_3,3,20,5,848,feasible
Ta006_4,4,20,5,645,feasible
Ta006_5,5,20,5,305,feasible
Ta006_6,6,20,5,712,feasible
Ta006_7,7,20,5,528,feasible
Ta007_2,2,20,5,1968,feasible
Ta007_3,3,20,5,1167,feasible
Ta007_4,4,20,5,797,feasible
Ta007_5,5,20,5,335,feasible
Ta007_6,6,20,5,757,feasible
Ta007_7,7,20,5,546,feasible
Ta008_2,2,20,5,2317,feasible
Ta008_3,3,20,5,1486,feasible
Ta008_4,4,20,5,800,feasible
Ta008_5,5,20,5,388,feasible
Ta008_6,6,20,5,838,feasible
Ta008_7,7,20,5,640,feasible
Ta009_2,2,20,5,2417,feasible
Ta009_3,3,20,5,1923,feasible
Ta009_4,4,20,5,981,feasible
Ta009_5,5,20,5,632,feasible
Ta009_6,6,20,5,1008,feasible
Ta009_7,7,20,5,789,feasible
Ta010_2,2,20,5,2445,feasible
Ta010_3,3,20,5,1160,feasible
Ta010_4,4,20,5,731,feasible
Ta010_5,5,20,5,414,feasible
Ta010_6,6,20,5,807,feasible
Ta010_7,7,20,5,591,feasible
Ta011_2,2,20,10,2224,feasible
Ta011_3,3,20,10,1056,feasible
Ta011_4,4,20,10,634,feasible
Ta011_5,5,20,10,340,feasible
Ta011_6,6,20,10,911,feasible
Ta011_7,7,20,10,693,feasible
Ta012_2,2,20,10,2378,feasible
Ta012_3,3,20,10,1866,feasible
Ta012_4,4,20,10,1184,feasible
Ta012_5,5,20,10,666,feasible
Ta012_6,6,20,10,1314,feasible
Ta012_7,7,20,10,980,feasible
Ta013_2,2,20,10,2087,feasible
Ta013_3,3,20,10,1130,feasible
Ta013_4,4,20,10,674,feasible
Ta013_5,5,20,10,525,feasible
Ta013_6,6,20,10,972,feasible
Ta013_7,7,20,10,713,feasible
Ta014_2,2,20,10,2306,feasible
Ta014_3,3,20,10,1591,feasible
Ta014_4,4,20,10,906,feasible
Ta014_5,5,20,10,588,feasible
Ta014_6,6,20,10,1143,feasible
Ta014_7,7,20,10,824,feasible
Ta015_2,2,20,10,1276,feasible
Ta015_3,3,20,10,1013,feasible
Ta015_4,4,20,10,473,feasible
Ta015_5,5,20,10,479,feasible
Ta015_6,6,20,10,812,feasible
Ta015_7,7,20,10,571,feasible
Ta016_2,2,20,10,2023,feasible
Ta016_3,3,20,10,1044,feasible
Ta016_4,4,20,10,743,feasible
Ta016_5,5,20,10,482,feasible
Ta016_6,6,20,10,1018,feasible
Ta016_7,7,20,10,787,feasible
Ta017_2,2,20,10,1152,feasible
Ta017_3,3,20,10,910,feasible
Ta017_4,4,20,10,517,feasible
