problem_id,F,J,M,Best,status
I_2_10_2_1,2,10,2,1053,optimal
I_2_10_2_2,2,10,2,687,optimal
I_2_10_2_3,2,10,2,1010,optimal
I_2_10_2_4,2,10,2,573,optimal
I_2_10_2_5,2,10,2,628,optimal
I_2_10_3_1,2,10,3,903,optimal
I_2_10_3_2,2,10,3,633,optimal
I_2_10_3_3,2,10,3,955,optimal
I_2_10_3_4,2,10,3,767,optimal
I_2_10_3_5,2,10,3,748,optimal
I_2_10_4_1,2,10,4,808,optimal
I_2_10_4_2,2,10,4,1058,optimal
I_2_10_4_3,2,10,4,750,optimal
I_2_10_4_4,2,10,4,965,optimal
I_2_10_4_5,2,10,4,914,optimal
I_2_10_5_1,2,10,5,770,optimal
I_2_10_5_2,2,10,5,735,optimal
I_2_10_5_3,2,10,5,1137,optimal
I_2_10_5_4,2,10,5,895,optimal
I_2_10_5_5,2,10,5,1041,optimal
I_2_12_2_1,2,12,2,1136,feasible
I_2_12_2_2,2,12,2,898,feasible
I_2_12_2_3,2,12,2,829,optimal
I_2_12_2_4,2,12,2,1278,feasible
I_2_12_2_5,2,12,2,1106,feasible
I_2_12_3_1,2,12,3,1443,feasible
I_2_12_3_2,2,12,3,1141,feasible
I_2_12_3_3,2,12,3,873,optimal
I_2_12_3_4,2,12,3,1236,feasible
I_2_12_3_5,2,12,3,1182,feasible
I_2_12_4_1,2,12,4,981,optimal
I_2_12_4_2,2,12,4,1301,feasible
I_2_12_4_3,2,12,4,1223,feasible
I_2_12_4_4,2,12,4,1249,feasible
I_2_12_4_5,2,12,4,1142,feasible
I_2_12_5_1,2,12,5,1287,optimal
I_2_12_5_2,2,12,5,1012,optimal
I_2_12_5_3,2,12,5,1099,optimal
I_2_12_5_4,2,12,5,1248,feasible
I_2_12_5_5,2,12,5,1454,feasible
I_2_14_2_1,2,14,2,1918,feasible
I_2_14_2_2,2,14,2,1464,feasible
I_2_14_2_3,2,14,2,1482,feasible
I_2_14_2_4,2,14,2,1616,feasible
I_2_14_2_5,2,14,2,1259,feasible
I_2_14_3_1,2,14,3,1862,feasible
I_2_14_3_2,2,14,3,1632,feasible
I_2_14_3_3,2,14,3,1687,feasible
I_2_14_3_4,2,14,3,1481,feasible
I_2_14_3_5,2,14,3,1744,feasible
I_2_14_4_1,2,14,4,1432,feasible
I_2_14_4_2,2,14,4,1994,feasible
I_2_14_4_3,2,14,4,2305,feasible
I_2_14_4_4,2,14,4,2020,feasible
I_2_14_4_5,2,14,4,1744,feasible
I_2_14_5_1,2,14,5,1704,feasible
I_2_14_5_2,2,14,5,1946,feasible
I_2_14_5_3,2,14,5,1780,feasible
I_2_14_5_4,2,14,5,1443,feasible
I_2_14_5_5,2,14,5,1599,feasible
I_2_16_2_1,2,16,2,2450,feasible
I_2_16_2_2,2,16,2,1681,feasible
I_2_16_2_3,2,16,2,2137,feasible
I_2_16_2_4,2,16,2,1900,feasible
I_2_16_2_5,2,16,2,1741,feasible
I_2_16_3_1,2,16,3,2242,feasible
I_2_16_3_2,2,16,3,2252,feasible
I_2_16_3_3,2,16,3,2327,feasible
I_2_16_3_4,2,16,3,2067,feasible
I_2_16_3_5,2,16,3,2001,feasible
I_2_16_4_1,2,16,4,2295,feasible
I_2_16_4_2,2,16,4,2434,feasible
I_2_16_4_3,2,16,4,2239,feasible
I_2_16_4_4,2,16,4,2779,feasible
I_2_16_4_5,2,16,4,2781,feasible
I_2_16_5_1,2,16,5,2251,feasible
I_2_16_5_2,2,16,5,2638,feasible
I_2_16_5_3,2,16,5,2514,feasible
I_2_16_5_4,2,16,5,2228,feasible
I_2_16_5_5,2,16,5,2655,feasible
I_2_4_2_1,2,4,2,27,optimal
I_2_4_2_2,2,4,2,44,optimal
I_2_4_2_3,2,4,2,133,optimal
I_2_4_2_4,2,4,2,57,optimal
I_2_4_2_5,2,4,2,128,optimal
I_2_4_3_1,2,4,3,6,optimal
I_2_4_3_2,2,4,3,133,optimal
I_2_4_3_3,2,4,3,113,optimal
I_2_4_3_4,2,4,3,86,optimal
I_2_4_3_5,2,4,3,30,optimal
I_2_4_4_1,2,4,4,118,optimal
I_2_4_4_2,2,4,4,49,optimal
I_2_4_4_3,2,4,4,92,optimal
I_2_4_4_4,2,4,4,58,optimal
I_2_4_4_5,2,4,4,76,optimal
I_2_4_5_1,2,4,5,60,optimal
I_2_4_5_2,2,4,5,62,optimal
I_2_4_5_3,2,4,5,52,optimal
I_2_4_5_4,2,4,5,104,optimal
I_2_4_5_5,2,4,5,22,optimal
I_2_6_2_1,2,6,2,164,optimal
I_2_6_2_2,2,6,2,151,optimal
I_2_6_2_3,2,6,2,224,optimal
I_2_6_2_4,2,6,2,97,optimal
I_2_6_2_5,2,6,2,414,optimal
I_2_6_3_1,2,6,3,146,optimal
I_2_6_3_2,2,6,3,286,optimal
I_2_6_3_3,2,6,3,251,optimal
I_2_6_3_4,2,6,3,167,optimal
I_2_6_3_5,2,6,3,109,optimal
I_2_6_4_1,2,6,4,306,optimal
I_2_6_4_2,2,6,4,225,optimal
I_2_6_4_3,2,6,4,212,optimal
I_2_6_4_4,2,6,4,350,optimal
I_2_6_4_5,2,6,4,276,optimal
I_2_6_5_1,2,6,5,191,optimal
I_2_6_5_2,2,6,5,219,optimal
I_2_6_5_3,2,6,5,315,optimal
I_2_6_5_4,2,6,5,323,optimal
I_2_6_5_5,2,6,5,104,optimal
I_2_8_2_1,2,8,2,297,optimal
I_2_8_2_2,2,8,2,274,optimal
I_2_8_2_3,2,8,2,383,optimal
I_2_8_2_4,2,8,2,649,optimal
I_2_8_2_5,2,8,2,418,optimal
I_2_8_3_1,2,8,3,760,optimal
